id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,"Reclamo: problema directamente relacionado con el producto o servicio | Queja: malestar o descontento sobre la atención recibida por el proveedor | Ejemplos de queja (personal descortés, servicios higiénicos sucios)","Ejemplos específicos de reclamo (aparato que no funcione, comida contaminada)",,"El chatbot define correctamente la diferencia principal entre queja y reclamo, alineándose con la respuesta de referencia. Aunque omite los ejemplos específicos de reclamo de la referencia, su definición es precisa y añade contexto útil y correcto sobre el proceso del Libro de Reclamaciones.",5.14,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,"Reclamar al operador del servicio | El operador debe brindar canales (teléfono, web)",Interponer una denuncia ante INDECOPI si no se satisfacen los derechos con la respuesta del operador,,"La respuesta del chatbot identifica correctamente el primer paso (reclamar al operador) y los canales, pero omite la información crucial sobre acudir a INDECOPI si el reclamo inicial no es satisfactorio, lo cual es un concepto clave en el proceso de reclamo.",2.42,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,2,correcto,"Reclamación: disconformidad con proveedor/empresa | Reclamación: a través del Libro de Reclamaciones | Denuncia: solicitud a INDECOPI | Denuncia: para sancionar/multar al proveedor por infracción | Orden: primero reclamo, luego denuncia",,,"La respuesta del chatbot define y diferencia correctamente la reclamación y la denuncia, cubriendo todos los conceptos clave de la respuesta de referencia, incluyendo la secuencia correcta de los pasos y una fuente legal relevante y precisa.",2.32,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,0,incorrecto,datos y condiciones generales de venta | área del inmueble | precio exacto | forma y plazos de pago | penalidades,forma de resolver controversias | coincidencia con ofertas y ofrecimientos previos,"Invención de 'SUNEDU (Servicio Único Nacional de Evaluación Inmobiliaria)' como entidad de registro inmobiliario (SUNEDU es la Superintendencia Nacional de Educación Superior Universitaria). | Mención de 'cláusulas anti-retrato y anti-embarazo' como parte del Código de Protección y Defensa del Consumidor peruano (Ley 29571) para contratos de compraventa de inmuebles, las cuales no existen en dicha ley ni en este contexto.","Aunque el chatbot acierta en algunos elementos generales, incluye alucinaciones graves y fundamentales como la invención de una institución de registro inmobiliario y la atribución de cláusulas inexistentes al Código de Protección y Defensa del Consumidor, lo que invalida su fiabilidad como respuesta experta.",4.17,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",0,incorrecto,derecho a pagar por adelantado | aplica a créditos con institución financiera,ejercicio libre del derecho sin condiciones o limitaciones por otras deudas | el banco no puede negarse a recibir el pago,"La respuesta cita como fuentes enlaces del Boletín Oficial de Argentina (dominio .gob.ar) para una pregunta sobre derechos del consumidor peruano. | La información sobre las comisiones por pago anticipado (punto 2) es engañosa para préstamos de consumo general en Perú, donde dichas comisiones están prohibidas por ley (Art. 83 del Código de Protección y Defensa del Consumidor).","La respuesta del chatbot es incorrecta principalmente porque cita fuentes legales de Argentina para una pregunta específica sobre derechos del consumidor peruano, lo que constituye un error de dominio grave y fundamental. Además, la información sobre comisiones es imprecisa para el contexto general de préstamos de consumo en Perú y las condiciones adicionales diluyen el derecho expresado en la referencia.",3.88,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,No se puede solicitar indemnización por Libro de Reclamaciones o INDECOPI | La indemnización debe solicitarse ante el Poder Judicial | Se tramita como una demanda/juicio ordinario,,,"La respuesta del chatbot es precisa, negando correctamente el uso del Libro de Reclamaciones/INDECOPI para indemnización y dirigiendo al ciudadano al Poder Judicial, cubriendo todos los puntos clave de la referencia.",1.66,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,0,incorrecto,"Derecho del consumidor a reclamar por producto defectuoso | Opción de solicitar reparación, cambio o valor del producto | INDECOPI como instancia de reclamo",Obligación expresa del proveedor de restituir el producto | La imposibilidad del proveedor de negarse a la devolución/cambio,La mención de 'intereses legales o convencionales' como parte estándar del reembolso por una prenda inútil | La presentación de una 'carta de notificación por correo certificado' como un paso específico y obligatorio en la secuencia de reclamo,"La respuesta del chatbot comienza con 'Sí', lo cual contradice directamente la respuesta de referencia 'No' a la pregunta '¿Pueden negarse a cambiarme una prenda...?'. Este error fundamental en una pregunta de sí/no resulta en una calificación de 0 puntos según los criterios especiales de evaluación.",3.55,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,1,parcial,prohibición de cobrar sin informar | información previa requerida | aplicable a comisiones y otros conceptos/gastos,,"La fuente citada (Séptima.- Oferta de tarjetas de crédito sin comisión de membresía del Código de Protección y Defensa del Consumidor, Ley N° 29571) es incorrecta como base general para la prohibición de cobrar comisiones y otros conceptos sin previo aviso. Esta disposición se refiere específicamente a las condiciones de las tarjetas sin comisión de membresía, y no a la regla general de información previa para todos los cambios y cobros.","La respuesta del chatbot es correcta en su afirmación principal y cubre todos los conceptos clave de la referencia, incluso ofreciendo ejemplos útiles. Sin embargo, la fuente legal citada es incorrecta y no respalda la amplitud del principio que el chatbot describe, lo cual representa una alucinación grave en la atribución legal.",1.96,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,Negocio digital debe contar con libro de reclamaciones,Aplica a todos los negocios (físicos o virtuales) | El libro de reclamaciones para negocios digitales es virtual | El libro virtual tiene las mismas características que el físico,,"El chatbot responde correctamente a la pregunta principal con un 'Sí' y confirma que los negocios digitales deben tener un libro de reclamaciones. Sin embargo, omite información importante de la referencia sobre la naturaleza virtual del libro para negocios digitales y que aplica a todos los negocios (físicos o virtuales).",1.22,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,1,parcial,Prohibición de cobrar más del precio mostrado | Aplica a tienda física y página web | Referencia al Artículo 7 del Código de Protección y Defensa del Consumidor (Ley N° 29571) | Regulación específica sobre la diferencia de precio por medio de pago,Obligación general de la empresa de mostrar el precio final exacto a cobrar | Obligación de avisar claramente sobre cualquier recargo o pago adicional (no limitado solo al medio de pago),,"La respuesta del chatbot es correcta en su afirmación principal y en la referencia legal. Sin embargo, se enfoca en un caso específico (diferenciación de precio por medio de pago), omitiendo la obligación más general de la empresa de mostrar siempre el precio final exacto y de informar sobre cualquier tipo de recargo adicional, no solo los relacionados con el método de pago.",1.46,3
